feature,non_positive_frac,min,max,orders_of_magnitude,mean,std,skewness,kurtosis,corr_value_roll_var,corr_value_roll_abs_dev,log_skewness,log_kurtosis,qq_r,qq_r_log,skewness_reduction,kurtosis_reduction,qq_r_improvement,log_candidate,log_possible,has_negatives
imf_solar_wind_newell_dphi_dt,0.010966327750049527,0.0,101176.97451962216,,4618.415850935159,4639.915360140858,2.3617165319754796,14.464921301296137,,,-1.9486873990670548,4.1036975387801515,0.9114261926133106,0.9000245283284658,0.4130291329084248,10.361223762515985,-0.011401664284844792,False,True,False
cme_last_cme_shock_proxy,0.014545082726755667,0.0,979.0,,156.9109401261511,147.3133088580981,1.5767906817996857,2.0365272924351663,,,-1.2929506466957348,3.3288457230037585,0.8982905062686969,0.9512923019232186,0.28384003510395095,-1.2923184305685922,0.05300179565452168,False,True,False
cme_max_last_cme_shock_proxy_6h,0.014385316879581285,0.0,979.0,,159.1947417864378,148.4572571382979,1.5688571069571091,2.0275212667244444,,,-1.3076500227209968,3.471549070145892,0.899992745287465,0.9509566895492845,0.2612070842361123,-1.4440278034214478,0.050963944261819494,False,True,False
radio_flux_log_f107,0.0,4.152613470346076,6.829144878400226,0.21604481785078244,4.6988487979241915,0.35454181121187617,0.4112492252782491,-0.5840930379744789,,,0.2827073297181185,-0.8306630419402743,0.978130518336217,0.9801520301674184,0.12854189556013057,-0.24657000396579543,0.0020215118312013614,False,True,False
radio_flux_log_f107_mean_24h,0.0,4.160765105802655,6.111789050948932,0.1669951575283857,4.698890592230752,0.3527674161890987,0.36660022739568443,-0.8073821457184316,,,0.25356928145473,-0.951267032016331,0.9781276603248786,0.9799124088912563,0.11303094594095442,-0.14388488629789942,0.0017847485663776697,False,True,False
imf_solar_wind_pdyn_max_6h,0.2805488276382134,0.0,5.235176686964109e-05,,1.721459994373061e-06,2.1333950994764885e-06,4.629118775341996,48.717569745861766,,,4.629025054413566,48.715350390455896,0.820537680775691,0.8205399063469333,9.372092843040747e-05,0.0022193554058702603,2.2255712422980523e-06,False,True,False
imf_solar_wind_dynamic_pressure,0.31671342480460635,0.0,5.235176686964109e-05,,1.3234045047477538e-06,1.5961147356483699e-06,4.368416815510394,51.63484951430437,,,4.368334097553943,51.63255858790144,0.8476065404702152,0.8476084048034762,8.271795645153901e-05,0.0022909264029280507,1.8643332609924457e-06,False,True,False
imf_solar_wind_bz_south_frac_6h,0.16430958786802063,0.0,1.0,,0.4949812221874288,0.341647731060991,0.018978554903595766,-1.2749999577722126,,,-0.2380433322438155,-1.2133328746762746,0.9555644373783413,0.9525405267353804,-0.21906477734021973,0.06166708309593805,-0.0030239106429609253,False,True,False
cme_mean_cme_influence_exp_12h,0.00017254711494833172,0.0,0.9851994691756563,,0.6741713285337406,0.2782436083310335,-1.0914409998074803,-0.023598079227932445,,,-1.3222872070839147,0.5983830773634882,0.9138163733776038,0.8924250675862926,-0.23084620727643435,-0.5747849981355557,-0.02139130579131121,False,True,False
cme_cme_influence_exp,0.00017254711494833172,0.0,1.0,,0.6741742978524373,0.2975254268191674,-0.8940472768174821,-0.4176276470433349,,,-1.136721183622927,0.13418421614363307,0.9339846395061632,0.9144026569185874,-0.24267390680544487,0.2834434308997018,-0.01958198258757582,False,True,False
sunspot_ssn,0.12960205522785806,0.0,353.0,,78.11300557902338,66.05787515831938,0.8526364846528337,0.2266485445318991,,,-1.3149445400850819,0.6947236714902236,0.9613516784427619,0.9006206550080388,-0.4623080554322482,-0.46807512695832454,-0.06073102343472314,False,True,False
sunspot_log_ssn,0.12960205522785806,0.0,5.869296913133774,,3.6700587376867997,1.6145251045168676,-1.3149445400850819,0.6947236714902236,,,-1.8885603618036084,2.0515329927069423,0.9006206550080388,0.7997155727446403,-0.5736158217185265,-1.3568093212167187,-0.10090508226339845,False,True,False
sunspot_ssn_anomaly_frac_1944h,0.0,0.07407407407407407,0.8518518518518519,1.0606978403536118,0.43394976762068754,0.15378371488138537,0.21352257187102228,-0.26962180835705585,,,-0.9662797450820602,1.3889140568102896,0.9966989761014245,0.9746678015321435,-0.7527571732110379,-1.1192922484532337,-0.022031174569281053,False,True,False
sunspot_ssn_mean_1944h,0.0,0.4444444444444444,212.88888888888889,2.680335513414563,78.58832342610995,56.804197283340116,0.4606617118613515,-0.7998595183365436,,,-1.363422089987463,1.4384090828365608,0.9723378383993633,0.929736802608254,-0.9027603781261114,-0.6385495645000172,-0.0426010357911093,False,True,False
sunspot_ssn_std_1944h,0.0,1.5873924281818446,70.67327180396389,1.6485708929482015,30.100305229741068,15.175336457375806,0.20471906663544698,-0.5966139017343641,,,-1.3008734913338111,1.7603255390494184,0.9924962210029132,0.948182097820872,-1.096154424698364,-1.1637116373150542,-0.0443141231820412,False,True,False
imf_solar_wind_newell_int_6h,0.007624026227161472,0.0,414620.296479632,,27710.48622691235,22519.005452903282,2.4558015264674484,16.040965512672383,,,-3.80919916737493,24.567552216331077,0.9011282971692144,0.8564990635181536,-1.3533976409074815,-8.526586703658694,-0.04462923365106075,False,True,False
